,S&P 500,NASDAQ,Dow Jones,FTSE 100,Nikkei 225,DAX
2015-01-01,1730.157286354418,2331.255241296242,2128.3514599621685,2675.895031563334,2383.3570291488236,2144.5214678957423
2015-01-02,1736.1973970590461,2344.834928038446,2158.63492816196,2678.9937213959183,2339.566215858436,2139.0386377889504
2015-01-05,1741.5700969533154,2360.218024729757,2150.9798483098307,2672.350831611948,2386.723066059672,2143.1439735973777
2015-01-06,1759.7021325015844,2344.4953010232693,2111.458053613447,2693.8222109683884,2371.7859347836943,2134.539147903557
2015-01-07,1750.0227769225885,2358.8634988088966,2154.6272479105323,2715.749426579795,2372.286179734095,2187.2995258237665
2015-01-08,1741.3751660098408,2365.738861900902,2167.4101628492613,2725.6912799798283,2357.5382254658084,2169.6349685656983
2015-01-09,1731.9691672046304,2353.7301480651563,2184.656476008554,2741.936986580384,2334.1274253965767,2195.9018036344455
2015-01-12,1716.508829754563,2330.73145253521,2163.923391965482,2736.9836251546785,2306.801081310109,2215.399162545233
2015-01-13,1672.2073516953224,2285.7254336834394,2170.75489075727,2752.6896988470407,2309.9126041401364,2215.793081673347
2015-01-14,1688.6320744661577,2294.445440431757,2177.0375624597455,2744.265659402815,2265.145379731921,2197.3275336780766
2015-01-15,1702.9600962536272,2259.2773481919808,2159.8513486458096,2745.2065384589387,2260.3716167984435,2181.150771755985
2015-01-16,1677.558452050087,2262.1602557918677,2156.880239857242,2738.552573335397,2285.01028977141,2170.5567389477224
2015-01-19,1670.9223330323864,2256.9350244582997,2125.21715957189,2726.920449147332,2300.192042487679,2132.5008624789148
2015-01-20,1659.063168878421,2273.0001589569347,2118.5431212044873,2709.019782579066,2310.8903419326066,2111.798625268
2015-01-21,1647.9396569622922,2266.8818980487044,2139.8709311440343,2722.5801723577747,2290.9586769464,2081.1859464334407
2015-01-22,1613.2251281721788,2260.163576690717,2124.597198761715,2759.1630821956446,2255.379726840977,2109.88455162837
2015-01-23,1603.607232298621,2277.4573337569873,2165.826754684822,2792.394066444447,2279.6268299003705,2123.635656604412
2015-01-26,1613.7293586595779,2285.8508431923988,2135.4488219029568,2758.2409653344957,2270.1556538106934,2141.0380747112044
2015-01-27,1655.576302414582,2293.8478970498504,2130.612433875702,2794.729660566834,2269.0345557544583,2154.3665976613042
2015-01-28,1662.6643559968409,2305.3897750691954,2117.348713413883,2786.7853781312615,2265.3202484950148,2158.6940027723717
2015-01-29,1665.2634829139813,2270.7750788325534,2114.255754153489,2804.4769188341884,2281.3246638238384,2190.9618190882697
2015-01-30,1657.2514485869729,2288.739117276436,2143.977608861166,2780.02449400248,2324.1593765238745,2178.331929433809
2015-02-02,1647.8757027842412,2303.546846311069,2123.611057843497,2784.931044651662,2358.94942329928,2181.4073597526067
2015-02-03,1664.060438014234,2280.926812757703,2114.7650959641164,2794.6348831028567,2304.752069390107,2198.4610905701015
2015-02-04,1669.4845457226966,2276.156064951696,2129.3448770575833,2754.121546885334,2298.4458805240524,2170.182570024911
2015-02-05,1659.4604064750843,2276.060904935988,2132.076514249284,2771.841391976283,2268.2990744412,2238.146512872704
2015-02-06,1643.0944537563596,2273.8038278945123,2136.56465897852,2810.1278907844303,2290.386856897903,2239.5766127055117
2015-02-09,1641.0205345362465,2282.2031460966996,2116.7001353298183,2806.2186407199742,2291.291984328939,2243.5524100749844
2015-02-10,1632.8497352180727,2315.685484309071,2115.9414189707227,2845.3908516313945,2305.9995823349645,2272.552954478923
2015-02-11,1633.3463717737104,2341.5681305699545,2140.6454929052743,2841.0160544896794,2297.7399234421987,2294.1626268994446
2015-02-12,1630.1890585152632,2311.68803319005,2106.9651358664146,2866.17983242809,2274.688433529096,2295.865471929712
2015-02-13,1637.1287705521381,2326.908670486629,2093.0389762963714,2803.633510115864,2255.764622231535,2299.6876368944927
2015-02-16,1617.0155877743382,2358.6823277702842,2055.8040848254855,2872.4720320768533,2222.0080510383764,2265.9375611884802
2015-02-17,1635.267658981473,2368.6729215241985,2067.5989300344972,2916.4845213839203,2194.746770787258,2254.161312325918
2015-02-18,1681.3049362758288,2395.3901811187397,2093.700965547928,2909.2614447505703,2163.2009871885093,2266.6532411731478
2015-02-19,1701.9985178514755,2444.4821579644267,2090.639034070223,2852.9694477719054,2141.6006115588393,2277.557155608902
2015-02-20,1706.3557466774103,2470.4200166163064,2070.398476436089,2862.2529153280334,2119.0086554783484,2306.2209879407455
2015-02-23,1722.0428288960886,2477.507157909239,2050.9641628550316,2821.999503282983,2128.155664094458,2304.308447184133
2015-02-24,1705.3164386011933,2504.33516333076,2045.6463655554269,2835.619261517895,2136.5115704947793,2273.2115257499195
2015-02-25,1678.9638946814302,2508.9147183310397,2040.2684680736513,2848.366589019081,2145.7195395479685,2298.0965473063893
2015-02-26,1692.5950735937956,2510.4723287110874,2059.651258646188,2822.6394817872438,2171.750880147636,2331.976680037848
2015-02-27,1684.1361759413096,2502.613755530603,2046.6652922074136,2855.3637413367164,2170.883150248766,2353.818606743623
2015-03-02,1662.106107227792,2542.705587348354,2056.359595782343,2879.467572010039,2154.770213446022,2350.8751883564496
2015-03-03,1648.1144324376128,2522.881603295977,2050.875640310273,2908.6829568826006,2203.2566566275123,2376.33924241403
2015-03-04,1630.12422784654,2562.525084923051,2036.4012269111593,2910.074679515119,2224.0693984060313,2458.7483098043267
2015-03-05,1632.9544552953816,2576.3385197597636,2030.4715402999996,2870.022373135304,2228.3287418275395,2462.543235019949
2015-03-06,1643.1035303031392,2541.302560923546,2038.1047264206816,2899.2181230891833,2231.0532696711994,2431.2112292631355
2015-03-09,1658.3407434408916,2551.6518705939666,2057.5590146686654,2892.5274119283376,2238.398979582645,2417.920039411559
2015-03-10,1673.831782835601,2499.081973694179,2053.1933546222076,2853.4787657054612,2234.7659515871574,2434.005797109133
2015-03-11,1687.1386732040348,2515.713511671217,2029.2954108030526,2893.2002530162126,2238.525329053341,2395.9183179410343
2015-03-12,1684.3217114550034,2538.9946932000576,2050.398335362903,2955.103356382274,2250.603935667233,2400.940214188792
2015-03-13,1674.5008138140183,2524.980563064521,2032.8106480566146,2955.078295956468,2235.1617290591585,2411.0418517849607
2015-03-16,1649.9266376436317,2529.1252840147745,2038.9380292505382,3020.0818059088533,2199.5440934239705,2449.0331848702735
2015-03-17,1668.7432024010366,2579.580297215714,2039.2636257813033,3024.0718269597774,2154.786864594318,2482.119536282122
2015-03-18,1666.461529058413,2567.5918363426067,2036.8661039804228,3013.806499364829,2174.8026990550175,2504.597284834882
2015-03-19,1660.309270751668,2541.461320285417,2027.7862859071392,2996.0474612181633,2141.2732919069276,2451.4628385117944
2015-03-20,1680.5836197451486,2580.169450478949,2041.201131566909,3046.335664983676,2152.124118734191,2475.057079991791
2015-03-23,1666.1876471913008,2631.880937759549,1968.9332175401798,3023.8372121238167,2128.1762821650373,2493.5486218972096
2015-03-24,1680.793406894047,2633.0783851362216,1992.1326184633597,3047.3345868043575,2104.842024441431,2500.97307525534
2015-03-25,1686.4839516436273,2660.816935421083,1974.7909815281114,3031.5749239265538,2090.609142978507,2458.751135086519
2015-03-26,1669.6928294345362,2697.634043561095,1983.6806581747505,3018.8997326955487,2095.5499442365735,2440.689813902363
2015-03-27,1669.1350903534403,2678.748334350949,1991.564314303431,3051.281952984363,2069.435375658905,2413.246143150077
2015-03-30,1686.086200162031,2666.889331077648,2017.8046943787856,3040.9857714030995,2057.549914650086,2365.647047257554
2015-03-31,1700.222230581356,2700.8567578294756,2022.658458497508,3029.9774716390625,2057.9013146972147,2366.5905261591115
2015-04-01,1726.3789656352644,2747.5278432240907,2006.7580760073254,3065.603971247283,2033.880138931866,2348.726885314154
2015-04-02,1732.9629540454664,2764.1799287522117,1975.421332070163,3115.8980142352634,2063.8072325428834,2411.4026609338475
2015-04-03,1792.1555729253191,2741.0597208135378,1969.3881827391194,3137.3379537404694,2029.1529093829145,2408.3792552262917
2015-04-06,1776.4419419671187,2796.721085910635,1931.6825674369386,3118.163184859555,2025.61043482355,2440.5875551115214
2015-04-07,1770.1382267472636,2783.0959326881466,1920.388059356707,3103.6069527839327,2052.274120331859,2403.360998487694
2015-04-08,1769.83944556746,2774.9928746218143,1915.6131007234383,3107.4523334903606,2025.9951308991836,2391.6781531711244
2015-04-09,1745.5117946475311,2785.7187785504,1903.2433402295142,3118.798023567344,2024.6692461010005,2395.0523349698337
2015-04-10,1764.4832509419175,2830.2495937316467,1904.883036552803,3089.3725750988356,2028.2577246667163,2374.364474919801
2015-04-13,1781.2124613067492,2855.680849131986,1901.2346463995111,3113.0870206086083,2012.7984508936438,2365.398281621145
2015-04-14,1782.348383534192,2868.8066316416644,1895.8557787421644,3117.1429189514047,2012.140050651899,2361.301912766844
2015-04-15,1773.6247107342458,2883.3875348035544,1850.7499116547187,3065.0635620648036,2024.3419229415638,2356.840474313987
2015-04-16,1747.9091072801232,2885.9444870386005,1827.6240309985697,3037.9756829581843,2015.799673527911,2401.627105211962
2015-04-17,1734.9064355415992,2903.361139582813,1840.1983847922368,3024.0383933434846,2032.121388241835,2411.800061246274
2015-04-20,1748.5994682759556,2831.241503432607,1855.836599366283,3023.2127516136825,2041.0278919644197,2424.4635944603388
2015-04-21,1745.689601939922,2824.1391276311456,1822.5609563745777,3081.7127939192223,2030.064509921146,2438.656524114312
2015-04-22,1739.039854832746,2832.2519454708117,1808.5495964851089,3090.4684423986823,2053.8852739823756,2454.7168179131913
2015-04-23,1748.5626265082703,2800.959115283306,1828.7710786432192,3065.9105810130345,2039.6149293452597,2453.8147727215414
2015-04-24,1769.6244218554723,2813.077665669943,1816.4871325431552,3074.0954786045477,2058.0168891085304,2447.0811977373346
2015-04-27,1774.9977932372171,2808.6345963895615,1815.3070894161935,3064.7022760640675,2044.0946552403548,2452.3018967931453
2015-04-28,1781.4096975699026,2859.251733209525,1842.3284242892526,3076.087027166037,2038.5888503371873,2481.815976661274
2015-04-29,1806.6839319644826,2905.5697464428863,1836.5313120681337,3095.3889423411556,2036.2296070270754,2510.9314812469797
2015-04-30,1810.7067217788822,2893.404202968482,1828.1271392922442,3134.2775167482787,2044.083167712611,2506.078095393274
2015-05-01,1805.9628974754348,2890.4084702970677,1826.1210331786951,3134.9988583165677,1995.7171537251038,2526.506260537556
2015-05-04,1818.9770126722888,2889.6438451449635,1860.8338497955071,3187.869178685874,2005.80568830849,2522.789997815657
2015-05-05,1815.1763656279668,2877.9704498326364,1870.0242814323599,3218.335919890193,2004.7066422898188,2524.8474977439355
2015-05-06,1809.3687496403547,2884.961125115355,1871.2764421981935,3197.1090128634437,2011.394707158066,2514.1006002596655
2015-05-07,1833.2850451741238,2864.4717732948434,1862.3637341515828,3269.297347047148,2022.4686013573971,2510.7423784138296
